page,word
4,a
4,antigos
4,rancores
4,políticos
4,perdão
4,doutor
4,não
4,estou
4,defendendo
4,ninguém
4,estou
4,citando
4,o
4,que
4,eu
4,quero
4,é
4,dizer
4,que
4,o
4,clero
4,ainda
4,tem
4,grande
4,papel
4,no
4,brasil
4,você
4,o
4,que
4,quer
4,é
4,um
4,capote
4,ande
4,vá
4,buscar
4,o
4,gamão
4,quanto
4,ao
4,pequeno
4,se
4,tem
4,de
4,ser
4,padre
4,realmente
4,é
4,melhor
4,que
4,não
4,comece
4,a
4,dizer
4,missa
4,atrás
4,das
4,portas
4,mas
4,olhe
4,cá
4,mana
4,glória
4,há
4,mesmo
4,necessidade
4,de
4,fazê
4,lo
4,padre
4,é
4,promessa
4,há
4,de
4,cumprir
4,se
4,sei
4,que
4,você
4,fez
4,promessa
4,mas
4,uma
4,promessa
4,assim
4,não
4,sei
4,creio
4,que
4,bem
4,pensado
4,você
4,que
4,acha
4,prima
4,justina
4,eu
4,verdade
4,é
4,que
4,cada
4,um
4,sabe
4,melhor
4,de
4,si
4,continuou
4,tio
4,cosme
4,deus
4,é
4,que
4,sabe
4,de
4,todos
4,contudo
4,uma
4,promessa
4,de
4,tantos
4,anos
4,mas
4,que
4,é
4,isso
4,mana
4,glória
4,está
4,chorando
4,ora
4,esta
4,pois
4,isto
4,é
4,coisa
4,de
4,lágrimas
4,minha
4,mãe
4,assoou
4,se
4,sem
4,responder
4,prima
4,justina
4,creio
4,que
4,se
4,levantou
4,e
4,foi
4,ter
4,com
4,ela
4,seguiu
4,se
4,um
4,alto
4,silêncio
4,durante
4,o
4,qual
4,estive
4,a
4,pique
4,de
4,entrar
4,na
4,sala
4,mas
4,outra
4,força
4,maior
4,outra
4,emoção
4,não
4,pude
4,ouvir
4,as
4,palavras
4,que
4,tio
4,cosme
4,entrou
4,a
4,dizer
4,prima
4,justina
4,exortava
4,prima
4,glória
4,prima
4,glória
4,josé
4,dias
4,desculpava
4,se
4,se
4,soubesse
4,não
4,teria
4,falado
4,mas
4,falei
4,pela
4,veneração
4,pela
4,estima
4,pelo
4,afeto
4,para
4,cumprir
4,um
4,dever
4,amargo
4,um
4,dever
4,amaríssimo
4,capítulo
4,iv
4,um
4,dever
4,amaríssimo
4,josé
4,dias
4,amava
4,os
4,superlativos
4,era
4,um
4,modo
4,de
4,dar
4,feição
4,monumental
4,às
4,idéias
4,não
4,as
4,havendo
4,servia
4,a
4,prolongar
4,as
4,frases
4,levantou
4,se
4,para
4,ir
4,buscar
4,o
4,gamão
4,que
4,estava
4,no
4,interior
4,da
4,casa
4,cosi
4,me
4,muito
4,à
4,parede
4,e
4,vi
4,o
4,passar
4,com
4,as
4,suas
4,calças
4,brancas
4,engomadas
4,presilhas
4,rodaque
4,e
4,gravata
4,de
4,mola
4,foi
4,dos
4,últimos
4,que
4,usaram
4,presilhas
4,no
4,rio
4,de
4,janeiro
4,e
4,talvez
4,neste
4,mundo
4,trazia
4,as
4,calças
4,curtas
4,para
4,que
4,lhe
4,ficassem
4,bem
4,esticadas
4,a
4,gravata
4,de
4,cetim
4,preto
4,com
4,um
4,arco
4,de
4,aço
4,por
4,dentro
4,imobilizava
4,lhe
4,o
4,pescoço
4,era
4,então
4,moda
4,o
4,rodaque
4,de
4,chita
4,veste
4,caseira
4,e
4,leve
4,parecia
4,nele
4,uma
4,casaca
4,de
4,cerimônia
4,era
4,magro
4,chupado
4,com
4,um
4,princípio
4,de
4,calva
4,teria
4,os
4,seus
4,cinqüenta
4,e
4,cinco
